1,1,0,12,3
1,1,1,14,5
1,1,2,15,1
1,1,3,23,4
1,1,4,6,5
1,1,5,9,5
1,1,6,7,4
1,1,7,1,5
1,1,8,24,4
1,1,9,16,4
1,1,10,10,5
2,1,0,10,5
2,1,1,15,2
2,1,2,23,4
2,1,3,12,4
2,1,4,13,5
2,1,5,16,5
2,1,6,3,5
2,1,7,17,3
2,1,8,5,5
2,1,9,6,4
2,1,10,21,5
3,1,0,14,5
3,1,1,10,5
3,1,2,17,4
3,1,3,2,5
3,1,4,15,4
3,1,5,12,4
3,1,6,9,5
3,1,7,22,2
3,1,8,4,5
3,1,9,18,5
3,1,10,1,4
4,1,0,1,5
4,1,1,22,5
4,1,2,13,5
4,1,3,19,5
4,1,4,2,5
4,1,5,11,5
4,1,6,14,5
4,1,7,24,5
4,1,8,4,4
4,1,9,3,5
4,1,10,5,5
5,1,0,2,5
5,1,1,10,5
5,1,2,11,3
5,1,3,5,5
5,1,4,18,4
5,1,5,14,5
5,1,6,1,5
5,1,7,24,5
5,1,8,8,2
5,1,9,12,5
5,1,10,16,4
1,0,0,12,5
1,0,1,10,0
1,0,2,20,3
1,0,3,19,5
1,0,4,11,3
1,0,5,18,5
1,0,6,16,4
1,0,7,22,5
1,0,8,24,5
1,0,9,7,5
1,0,10,23,5
2,0,0,5,3
2,0,1,1,5
2,0,2,13,5
2,0,3,4,5
2,0,4,21,5
2,0,5,3,3
2,0,6,17,2
2,0,7,9,5
2,0,8,6,5
2,0,9,23,4
2,0,10,16,5
3,0,0,17,5
3,0,1,7,5
3,0,2,2,5
3,0,3,1,5
3,0,4,19,5
3,0,5,10,4
3,0,6,11,3
3,0,7,22,3
3,0,8,21,5
3,0,9,9,5
3,0,10,23,5
4,0,0,2,4
4,0,1,23,5
4,0,2,1,4
4,0,3,6,1
4,0,4,12,5
4,0,5,11,3
4,0,6,16,5
4,0,7,5,5
4,0,8,14,5
4,0,9,20,5
4,0,10,15,4
5,0,0,22,5
5,0,1,11,4
5,0,2,1,5
5,0,3,9,4
5,0,4,4,5
5,0,5,10,5
5,0,6,23,4
5,0,7,16,3
5,0,8,15,4
5,0,9,14,5
5,0,10,13,5